Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 2.0, Error, kappa, 0.0034905238412223, theta_a, 0.0000490959736090, theta_b, 0.2000000000000000, sigma, 0.1817632811749444
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.005, Error, kappa, 0.0005441714682284, theta_a, 0.0000969995032339, theta_b, 0.2309696864349491, sigma, 0.0194783901866903
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.01, Error, kappa, 0.0005556993277211, theta_a, 0.0000970123400672, theta_b, 0.2278665041927619, sigma, 0.0189879762538283
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.02, Error, kappa, 0.0005836374826736, theta_a, 0.0000970611312011, theta_b, 0.2471362606391525, sigma, 0.0179910188880396
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.05, Error, kappa, 0.0009998999999978, theta_a, 0.0000998085202317, theta_b, 0.2456455117961868, sigma, 0.0150024593188657
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.1, Error, kappa, 0.0000218775216909, theta_a, 0.0000945218334151, theta_b, 0.2251307337787582, sigma, 0.0100177288389440
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.5, Error, kappa, 0.0105976287246267, theta_a, 0.0000993568207611, theta_b, 0.5117021377249482, sigma, 0.0294629202096018
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 1.0, Error, kappa, 0.0019117679791109, theta_a, 0.0000999999999733, theta_b, 0.1000000000000000, sigma, 0.0807170952283544
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 2.0, Error, kappa, 0.0091804730667678, theta_a, 0.0000997015354881, theta_b, 0.9493453998264343, sigma, 0.1791615282351697
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.005, Error, kappa, 0.0005475859964575, theta_a, 0.0009969826050904, theta_b, 0.2303531727793509, sigma, 0.0194828299359126
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.01, Error, kappa, 0.0009998999999989, theta_a, 0.0009999999999816, theta_b, 0.2446157441290136, sigma, 0.0186945000378965
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.02, Error, kappa, 0.0003968583123369, theta_a, 0.0009967243928869, theta_b, 0.2291609889157976, sigma, 0.0180178438514038
