,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
128,0.02,0.001,0.02,0.5,347.47187,99.45497,2045.99435,1.06309
129,0.02,0.001,0.05,0.5,232.82974,99.40263,262.72191,0.28775
130,0.02,0.001,0.1,0.5,98.21529,99.36533,100.00000,1.51680
131,0.02,0.001,0.5,0.5,99.96997,12663.14517,100.00000,0.90036
132,0.02,0.01,0.005,0.5,486.22858,100.00000,12104.26490,0.63954
133,0.02,0.01,0.01,0.5,858.56512,99.98811,22793.22821,1.03533
134,0.02,0.01,0.02,0.5,99.98980,99.85269,4195.33262,0.69233
135,0.02,0.01,0.05,0.5,282.60880,99.95359,4586.64850,0.24018
136,0.02,0.01,0.1,0.5,32.36677,100.00000,100.00000,0.71281
137,0.02,0.01,0.5,0.5,670.91910,99.97056,33.96697,0.22349
138,0.02,0.1,0.005,0.5,21.09569,99.97225,11367.22607,0.03947
139,0.02,0.1,0.01,0.5,32.72975,99.98925,30476.37973,0.99674
140,0.02,0.1,0.02,0.5,153.49579,99.98914,21684.74703,0.50241
141,0.02,0.1,0.05,0.5,138.70498,99.98812,3129.23613,0.47387
142,0.02,0.1,0.1,0.5,108.17393,99.99169,100.00000,0.27608
143,0.02,0.1,0.5,0.5,95.08856,99.99214,254.00149,1.19649
144,0.02,1e-06,0.005,2.0,46.11336,100.00000,100.00000,0.42031
145,0.02,1e-06,0.01,2.0,37.81858,1759.78275,100.00000,0.35412
146,0.02,1e-06,0.02,2.0,40.52453,100.00000,100.00000,0.02368
147,0.02,1e-06,0.05,2.0,99.99500,27027941.62269,100.00000,0.01716
148,0.02,1e-06,0.1,2.0,58.32749,9456.94957,100.00000,0.28341
149,0.02,1e-06,0.5,2.0,412.82954,196.66370,1019.21737,0.82520
150,0.02,1e-05,0.005,2.0,99.99488,1354.08284,119979.89572,1.47588
151,0.02,1e-05,0.01,2.0,112.74782,82.43970,19879.03774,0.84450
152,0.02,1e-05,0.02,2.0,326.30838,100.00000,100.00000,0.36939
153,0.02,1e-05,0.05,2.0,29.59484,100.00000,100.00000,0.97977
154,0.02,1e-05,0.1,2.0,286.29540,23.56988,340.88247,0.14662
155,0.02,1e-05,0.5,2.0,377.28041,99.99996,478.83428,0.12099
156,0.02,5e-05,0.005,2.0,99.98057,928805.04651,100.00000,1.04340
157,0.02,5e-05,0.01,2.0,207.18119,4.37696,99.99783,0.42811
158,0.02,5e-05,0.02,2.0,98.17306,100.00000,100.00000,0.78296
159,0.02,5e-05,0.05,2.0,626.07520,70.52519,99.99982,0.53359
160,0.02,5e-05,0.1,2.0,230.18179,100.00000,9316.76208,0.36598
161,0.02,5e-05,0.5,2.0,191.94545,100.00000,100.00000,1.39366
162,0.02,0.0001,0.005,2.0,157.17983,100.00000,100.00000,0.84796
163,0.02,0.0001,0.01,2.0,97.81981,184.28503,100.00000,0.52185
164,0.02,0.0001,0.02,2.0,275.33992,100.00000,100.00000,0.80345
165,0.02,0.0001,0.05,2.0,98.18526,77.93835,100.00000,1.44417
166,0.02,0.0001,0.1,2.0,20.17466,99.99999,100.00000,0.30049
167,0.02,0.0001,0.5,2.0,91.98780,69.37575,100.00000,0.60707
168,0.02,0.0005,0.005,2.0,99.99500,64.88223,100.00000,0.07605
169,0.02,0.0005,0.01,2.0,99.99499,66.47847,100.00000,0.19727
170,0.02,0.0005,0.02,2.0,208.88243,99.32450,100.00000,0.62420
171,0.02,0.0005,0.05,2.0,394.18135,100.00000,20387.30292,0.51425
172,0.02,0.0005,0.1,2.0,43.10588,100.00000,100.00000,0.98784
173,0.02,0.0005,0.5,2.0,320.05525,97.16997,718.06188,0.19256
174,0.02,0.001,0.005,2.0,228.46416,94.19323,99.99852,1.88088
